,Adrress
43,"CHIAPAS, 2399 TAPACHULA"
44,"GUANAJUATO, 2161 IRAPUATO GUADALUPE"
45,"SAN LUIS POTOSÍ, 2276 WONDER LA RAZA"
46,"SAN LUIS POTOSÍ, 2315 SAN LUIS POTOSI MARINELA"
47,"COLIMA, 2258 COLIMA BIMBO"
48,"ZACATECAS, 2259 FRESNILLO BIMBO"
49,"MICHOACÁN, 2271 RIO VERDE BIMBO"
50,"SINALOA, 2306 MAZATLAN MARINELA"
51,"SAN LUIS POTOSÍ, 2257 CD. VALLES"
52,"SAN LUIS POTOSÍ, 2272 SAN LUIS REY"
53,"JALISCO, 2294 GUADALAJARA"
54,"DURANGO, 2290 DURANGO BIMBO"
55,"SINALOA, 2556 GUAMUCHIL"
56,"ESTADO DE MÉXICO, 2019 AG. XALOSTOC"
57,"SONORA, 2560 LAS TORRES"
58,"TABASCO, 2390 INDUSTRIAL"
59,"ESTADO DE MÉXICO, 2094 CHALCO_BM"
60,"ESTADO DE MÉXICO, 2017 AG. SANTA CLARA"
61,"ESTADO DE MÉXICO, 2048 AG. IXTAPALUCA 1"
62,"ESTADO DE MÉXICO, 2042 AG. TEPOZOTLAN"
63,"CHIAPAS, 2402 TUXTLA"
64,"ESTADO DE MÉXICO, 2177 AGENCIA SUANDY"
65,"MORELOS, 2044 CUERNAVACA BUENAVISTA"
66,"VERACRUZ, 2355 JALAPA I"
67,"TABASCO, 2382 CARDENAS"
68,"HIDALGO, 2087 AG. TIZAYUCA"
69,"HIDALGO, 2416 PACHUCA II"
70,"SONORA, 2554 CD. OBREGON"
71,"GUERRERO, 2159 CHILPANCINGO"
72,"QUINTANA ROO, 2395 PLAYA DEL CARMEN"
73,"QUINTANA ROO, 2387 COZUMEL"
74,"CHIAPAS, 2411 COMITAN"
75,"GUERRERO, 2151 ACAPULCO ESCENICA"
76,"GUERRERO, 2152 ALTAMIRANO_BM"
77,"ESTADO DE MÉXICO, 2154 ATLACOMULCO"
78,"JALISCO, 2263 LIBERTAD"
79,"YUCATÁN, 2393 MERIDA SUR"
80,"GUERRERO, 2189 ACAPULCO SAN ISIDRO"
81,"ESTADO DE MÉXICO, 2041 AG. TULTITLAN"
82,"VERACRUZ, 2363 POZA RICA"
83,"PUEBLA, 2414 IZUCAR DE MATAMOROS"
84,"QUINTANA ROO, 2388 CHETUMAL"
85,"TABASCO, 2396 RUIZ CORTINEZ"
86,"ESTADO DE MÉXICO, 2065 TOLUCA CENTRO"
87,"PUEBLA, 2407 TEPEACA"
88,"GUERRERO, 2160 IGUALA"
89,"OAXACA, 2353 HUAJUAPAN"
90,"CAMPECHE, 2408 ESCARCEGA"
91,"TLAXCALA, 2036 APIZACO MARINELA"
92,"QUERETARO, 2090 AG. TEPEJI DEL RIO"
93,"VERACRUZ, 2366 SAN ANDRES"
94,"BAJA CALIFORNIA NORTE, 2555 ENSENADA II"
95,"ESTADO DE MÉXICO, 2078 AG. TEXCOCO"
96,"PUEBLA, 2370 TEZIUTLAN"
97,"OAXACA, 2053 OAXACA MARINELA"
98,"PUEBLA, 2413 CIUDAD SERDÁN"
99,"GUERRERO, 2034 ACAPULCO COSTERA"
100,"BAJA CALIFORNIA SUR, 2297 LA PAZ"
101,"TAMAULIPAS, 2468 MATAMOROS BIMBO"
102,"CHIHUAHUA, 2485 CHIHUAHUA MARINELA"
103,"COAHUILA, 2474 PIEDRAS NEGRAS"
104,"CHIHUAHUA, 2488 JUAREZ"
105,"NUEVO LEÓN, 2479 SANTA CATARINA BIMBO"
106,"BAJA CALIFORNIA NORTE, 2573 TIJUANA GATO BRONCO"
107,"GUANAJUATO, 2190 BI_SAN FRANCISCO DEL RINCON"
108,"NAYARIT, 2328 SANTIAGO IXCUINTLA"
109,"NUEVO LEÓN, 2466 LINARES"
110,"MICHOACÁN, 2179 URUAPAN"
111,"VERACRUZ, 2373 TUXPAM"
112,"PUEBLA, 2364 PUEBLA NORTE BIMBO"
113,"VERACRUZ, 2361 ORIZABA"
114,"HIDALGO, 2412 APAN"
115,"PUEBLA, 2365 PUEBLA SUR BIMBO"
116,"ESTADO DE MÉXICO, 2013 AG. MEGA NAUCALPAN"
117,"VERACRUZ, 2376 CONVENIENCIA VERACRUZ SUR"
118,"SONORA, 2566 NOGALES_BW"
119,"VERACRUZ, 2352 CORDOBA"
120,"COAHUILA, 2505 TORREON"
121,"DURANGO, 2458 GOMEZ PALACIO BIMBO"
122,"JALISCO, 2278 ZAPOPAN BIMBO"
123,"JALISCO, 2293 GRANJAS MARINELA"
124,"SINALOA, 2305 MAZATLAN BIMBO"
125,"ZACATECAS, 2277 ZACATECAS BIMBO"
126,"MÉXICO, D.F., 2021 AG. XOCHIMILCO 2"
127,"MÉXICO, D.F., 2031 AG. PANTITLAN"
128,"TABASCO, 2389 EMILIANO ZAPATA"
129,"BAJA CALIFORNIA NORTE, 2575 TIJUANA ROSARITO"
130,"BAJA CALIFORNIA NORTE, 2562 MEXICALI PLAZA"
131,"SONORA, 2568 SAN LUIS R.C."
132,"OAXACA, 2360 OAXACA BIMBO"
133,"SONORA, 2565 NAVOJOA"
134,"GUERRERO, 2181 ZIHUATANEJO"
135,"MICHOACÁN, 2164 LAZARO CARDENAS"
136,"VERACRUZ, 2358 MARTINEZ DE LA TORRE"
137,"HIDALGO, 2359 AG.MIXQUIAHUALA"
138,"CHIAPAS, 2379 ARRIAGA_BM"
139,"CHIAPAS, 2398 SAN CRISTOBAL"
140,"NUEVO LEÓN, 2478 SAN NICOLAS"
141,"SONORA, 2553 CANANEA"
142,"SONORA, 2551 AGUA PRIETA"
143,"SONORA, 2570 SANTA ANA"
144,"SONORA, 2567 PUERTO PEÑASCO"
145,"OAXACA, 2415 JUXTLAHUACA"
146,"ESTADO DE MÉXICO, 2116 Cruce De Anden Región Mexico"
147,"PUEBLA, 2056 PUEBLA NORTE MARINELA"
148,"MICHOACÁN, 2256 CD. MANTE"
149,"GUANAJUATO, 2174 SAN MIGUEL DE ALLENDE"
150,"NUEVO LEÓN, 2467 LINCOLN"
151,"BAJA CALIFORNIA SUR, 2316 SANTA ROSALIA"
152,"PUEBLA, 2367 SAN MARTIN T."
153,"HIDALGO, 2372 AG.TULANCINGO"
154,"MÉXICO, D.F., 2007 AG. LA VILLA"
155,"OAXACA, 2374 TUXTEPEC"
156,"JALISCO, 2267 OCOTLAN BIMBO"
157,"Queretaro de Arteaga, 2059 Queretaro Balvanera"
158,"JALISCO, 2274 TEPATITLAN BIMBO"
159,"DURANGO, 2310 NUEVO IDEAL"
160,"JALISCO, 2254 AUTLAN_BM"
161,"PUEBLA, 2417 ZACATLAN"
162,"MÉXICO, D.F., 2002 AG. AZCAPOTZALCO"
163,"MÉXICO, D.F., 2027 AG. VALLEJO"
164,"CHIHUAHUA, 2454 CUAHUTEMOC"
165,"CHIHUAHUA, 2453 CASAS GRANDES"
166,"CHIHUAHUA, 2457 DELICIAS BIMBO"
167,"MÉXICO, D.F., 2040 AG. CENTRO"
168,"YUCATÁN, 2392 MERIDA NORTE"
169,"CAMPECHE, 2384 CIUDAD DEL CARMEN"
170,"YUCATÁN, 2404 VALLADOLID"
171,"BAJA CALIFORNIA SUR, 2576 GUERRERO NEGRO"
172,"ESTADO DE MÉXICO, 2001 AG. ATIZAPAN"
173,"MÉXICO, D.F., 2008 AG. LAGO FILT"
174,"MÉXICO, D.F., 2032 AG. SANTA LUCIA"
175,"MÉXICO, D.F., 2050 AG. MIXCOAC"
176,"ESTADO DE MÉXICO, 2066 TOLUCA PONIENTE"
177,"MÉXICO, D.F., 2015 AG. ROJO GOMEZ"
178,"ESTADO DE MÉXICO, 2014 AG. NEZA"
179,"SINALOA, 2288 CULIACAN BIMBO"
180,"BAJA CALIFORNIA SUR, 2314 SAN LUCAS"
181,"BAJA CALIFORNIA SUR, 2285 CD. CONSTITUCION"
182,"BAJA CALIFORNIA NORTE, 2563 MEXICALI PONIENTE"
183,"VERACRUZ, 2386 COATZACOALCOS MLA."
184,"NUEVO LEÓN, 2516 ESCOBEDO"
185,"GUANAJUATO, 2301 CUBILETE"
186,"MICHOACÁN, 2153 APATZINGAN"
187,"COAHUILA, 2502 SALTILLO MARINELA"
188,"CHIHUAHUA, 2473 PARRAL BIMBO"
189,"SONORA, 2564 MOCTEZUMA"
190,"OAXACA, 2170 PUERTO ESCONDIDO"
191,"ESTADO DE MÉXICO, 2010 AG. LOS REYES"
192,"QUINTANA ROO, 2381 CANCUN_BM"
193,"MÉXICO, D.F., 2029 AG.IZTAPALAPA 2"
194,"JALISCO, 2304 MARIANO OTERO_MM"
195,"MICHOACÁN, 2168 MORELIA ABASTOS"
196,"QUERETARO, 2059 QUERETARO BALVANERA"
197,"ZACATECAS, 2321 ZACATECAS MARINELA"
198,"NAYARIT, 2279 ACAPONETA"
199,"JALISCO, 2255 CD GUZMAN"
200,"SAN LUIS POTOSÍ, 2265 MATEHUALA BIMBO"
201,"OAXACA, 2391 IXTEPEC"
202,"OAXACA, 2397 SALINA CRUZ"
203,"OAXACA, 2169 PINOTEPA"
204,"YUCATÁN, 2401 TEKAX"
205,"MÉXICO, D.F., 2088 AG. CEYLAN"
206,"VERACRUZ, 2394 MINATITLAN"
207,"BAJA CALIFORNIA NORTE, 2572 TIJUANA EL FLORIDO"
208,"SONORA, 2558 GUAYMAS"
209,"COAHUILA, 2469 MONCLOVA BIMBO"
210,"COAHUILA, 2476 SABINAS"
211,"BAJA CALIFORNIA NORTE, 2569 SAN QUINTÍN"
212,"HIDALGO, 2329 AG.HUEJUTLA"
213,"NUEVO LEÓN, 2481 WONDER GUERRERO"
214,"SINALOA, 2561 LOS MOCHIS"
215,"TAMAULIPAS, 2465 LAREDO"
216,"NAYARIT, 2262 LA PEÑITA"
217,"VERACRUZ, 2354 ISLA"
218,"COAHUILA, 2477 SALTILLO BIMBO"
219,"BAJA CALIFORNIA NORTE, 2574 TIJUANA PACIFICO"
220,"VERACRUZ, 2378 ACAYUCAN"
221,"COAHUILA, 2451 ACUÑA"
222,"SONORA, 2552 CABORCA"
223,"BAJA CALIFORNIA NORTE, 2571 TECATE"
224,"NUEVO LEÓN, 2461 HIDALGO BIMBO"
225,"BAJA CALIFORNIA SUR, 2313 SAN JOSE DEL CABO"
226,"ESTADO DE MÉXICO, 2003 AG. COACALCO"
227,"MÉXICO, D.F., 2018 AG. TEPALCATES 2"
228,"MÉXICO, D.F., 2049 AG. IZTAPALAPA 1"
229,"MÉXICO, D.F., 2016 AG. SAN LORENZO"
230,"CHIHUAHUA, 2472 OJINAGA"
231,"ESTADO DE MÉXICO, 2004 AG. CUAUTITLAN"
232,"SINALOA, 2557 BW_GUASAVE"
233,"CHIHUAHUA, 2455 CHIHUAHUA BIMBO"
234,"ESTADO DE MÉXICO, 2175 TOLUCA AEROPUERTO"
235,"TAMAULIPAS, 2475 REYNOSA BIMBO"
236,"MÉXICO, D.F., 2647 BLM_AG. CAMPESINOS AUTOSERVICI"
237,"NUEVO LEÓN, 2493 MITRAS"
238,"VERACRUZ, 2377 VERACRUZ SUR MLA"
239,"MÉXICO, D.F., 2064 AG. TEPALCATES 1"
240,"NUEVO LEÓN, 2517 SENDERO AUTOSERVICIO"
241,"SINALOA, 2289 CULIACAN MARINELA"
242,"NUEVO LEÓN, 2496 LA FE"
243,"CHIHUAHUA, 2462 JUAREZ BIMBO"
244,"JALISCO, 2330 TLAQUEPARQUE"
245,"SONORA, 2520 HERMOSILLO SUR"
246,"ESTADO DE MÉXICO, 2080 TEXCOCO WONDER"
247,"MÉXICO, D.F., 2083 AZCAPOTZALCO II MARINELA"
248,"ESTADO DE MÉXICO, 2081 NAUCALPAN II"
249,"TAMAULIPAS, 3216 NUEVO LAREDO"
250,"QUINTANA ROO, 2410 CANCUN II"
251,"SINALOA, 2655 LOS MOCHIS"
252,"ESTADO DE MÉXICO, 2092 AG. SANTA CLARA AUTOSERVICIOS"
253,"ESTADO DE MÉXICO, 2087 AG. TIZAYUCA"
254,"NUEVO LEÓN, 2145 Cruce De Anden Norte"
255,"PUEBLA, 2169 Cruce De Andén Sureste"
256,"BAJA CALIFORNIA NORTE, 2152 Cruce De Anden Noroeste"
